FileName,Sample,Site,Group,IndivNames,Indiv,Type,Gland,Sex,Age,Repro,Peak,RT,Purity,Amount,Area
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P43,16.4271,89%,0.17%,11273970
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P44,17.15,83%,0.27%,23199154
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P44,17.1317,85%,0.15%,10065882
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P45,17.2263,83%,0.14%,11587893
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P49,19.7195,91%,0.43%,29293855
WI3_MI4_LRCc,WI17,Wild,Group1,MI4_LRC,Grp1_Fem4,Body,Body,Female,Adult,Reproductive,P49,19.7153,95%,0.20%,35676741
WI3_MI4_LPGc,WI15,Wild,Group1,MI4_LPG,Grp1_Fem1,Body,Body,Female,Subadult,Non-reproductive,P53,21.4185,93%,28.50%,3363307826
WI1_MI4_LPLc,WI02,Wild,Group1,MI4_LPL,Grp1_Fem2,Body,Body,Female,Adult,Reproductive,P53,21.4061,94%,7.41%,632294584
WI1_MI4_LPRc,WI03,Wild,Group1,MI4_LPR,Grp1_Fem3,Body,Body,Female,Adult,Reproductive,P53,21.4087,96%,33.70%,2287449489
WI3_MI4_LRCc,WI17,Wild,Group1,MI4_LRC,Grp1_Fem4,Body,Body,Female,Adult,Reproductive,P53,21.4118,94%,20.40%,3701446556
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P53,21.4096,94%,25.40%,2247539955
WI1_T8_BlPYc,WI06,Wild,Group2,T8_BlPY,Grp2_Fem1,Body,Body,Female,Adult,Reproductive,P53,21.4075,95%,33.80%,2235188516
WI1_T8_BlBRc,WI05,Wild,Group2,T8_BlBR,Grp2_Male1,Body,Body,Male,Adult,Reproductive,P53,21.421,96%,29.20%,1415807499
WI4_T8_YBSc,WI26,Wild,Group2,T8_YBS,Grp2_Male2,Body,Body,Male,Adult,Reproductive,P53,21.4121,96%,37.40%,2436507346
WI1_MI4_LBYc,WI01,Wild,Group1,MI4_LBY,Grp1_Male1,Body,Body,Male,Adult,Reproductive,P66,28.3592,93%,1.22%,108206987
WI1_T8_BlPYc,WI06,Wild,Group2,T8_BlPY,Grp2_Fem1,Body,Body,Female,Adult,Reproductive,P69,33.9871,84%,0.12%,7665242
TZ_P1sp2,TZ08,Captive,GroupA,TZ_P1,Fem3,Gland,Gsp,Female,Adult,Reproductive,P02,3.16,82%,0.97%,2990331652
TZ_J2sp2,TZ03,Captive,GroupA,TZ_J2,Male1,Gland,Gsp,Male,Juvenile,Non-reproductive,P02,3.1487,100%,1.89%,11434747562
TZ_O2sp,TZ07,Captive,GroupA,TZ_O2,Male2,Gland,Gsp,Male,Adult,Reproductive,P02,3.1461,94%,2.69%,11670256907
TZ_J1sp1,TZ02,Captive,GroupA,TZ_J1,Fem1,Gland,Gsp,Female,Juvenile,Non-reproductive,P04,5.7186,81%,1.00%,8564871933
TZ_J2sp2,TZ03,Captive,GroupA,TZ_J2,Male1,Gland,Gsp,Male,Juvenile,Non-reproductive,P04,4.8557,79%,1.92%,11601457722
TZ_J1sp1,TZ02,Captive,GroupA,TZ_J1,Fem1,Gland,Gsp,Female,Juvenile,Non-reproductive,P07,7.5568,86%,0.32%,3865094937
TZ_J2sp2,TZ03,Captive,GroupA,TZ_J2,Male1,Gland,Gsp,Male,Juvenile,Non-reproductive,P07,7.5089,94%,1.04%,6286393393
TZ_O2sp,TZ07,Captive,GroupA,TZ_O2,Male2,Gland,Gsp,Male,Adult,Reproductive,P07,7.5022,91%,1.14%,4965028544
TZ_J2sp2,TZ03,Captive,GroupA,TZ_J2,Male1,Gland,Gsp,Male,Juvenile,Non-reproductive,P11,10.6364,72%,0.11%,120763419
TZ_O2sp,TZ07,Captive,GroupA,TZ_O2,Male2,Gland,Gsp,Male,Adult,Reproductive,P11,10.6459,69%,0.10%,442748038
TZ_O1sp1,TZ05,Captive,GroupA,TZ_O1,Fem2,Gland,Gsp,Female,Adult,Reproductive,P13,11.1414,76%,0.10%,1007863031
TZ_O2sp,TZ07,Captive,GroupA,TZ_O2,Male2,Gland,Gsp,Male,Adult,Reproductive,P13,11.146,77%,0.22%,942067266
TZ_O1sp1,TZ05,Captive,GroupA,TZ_O1,Fem2,Gland,Gsp,Female,Adult,Reproductive,P17,12.0298,79%,0.23%,1873368926
TZ_J2sp2,TZ03,Captive,GroupA,TZ_J2,Male1,Gland,Gsp,Male,Juvenile,Non-reproductive,P21,13.2257,73%,0.18%,1260401693
TZ_O2sp,TZ07,Captive,GroupA,TZ_O2,Male2,Gland,Gsp,Male,Adult,Reproductive,P21,13.2296,73%,0.30%,1303249359
TZ_J2sp2,TZ03,Captive,GroupA,TZ_J2,Male1,Gland,Gsp,Male,Juvenile,Non-reproductive,P25,14.3787,82%,0.30%,1830501948
